nombre_limpio,marca_normalizada,categoria,subcategoria,precio_venta,precio_original,descuento_pct,ahorro_cop,tiene_descuento,rango_precio,almacenamiento_gb,ram_gb,conectividad_5g,fecha_extraccion,fuente,enlace
"Parlante LG GRAB.ACOLLBK 20W Negro Sonido IA, Diseño ergonómico",Lg,tecnologia,audio,399900,799900,50,400000,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/parlante-lg-grabacollbk-20w-negro-sonido-ia-diseno-ergonomico-3213038/p
Televisor KALLEY 60 pulgadas LED Uhd4K Smart TV 60G310,Kalley,tecnologia,televisor,1401904,3699900,62,2297996,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-kalley-60-pulgadas-led-uhd-4k-smart-tv-60g310-3235231/p
Televisor SAMSUNG 58 pulgadas LED Uhd4K Smart TV UN58U8000FKXZL,Samsung,tecnologia,televisor,1705904,3599900,52,1893996,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-samsung-58-pulgadas-led-uhd-4k-smart-tv-un58u8000fkxzl-3209290/p
Televisor TCL 50 pulgadas QLED Fhd Smart TV 50S5K,Tcl,tecnologia,televisor,984905,2299900,57,1314995,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-tcl-50-pulgadas-qled-fhd-smart-tv-50s5k-3234406/p
Televisor LG 60 pulgadas LED Uhd4K Smart TV 60UA7500PSA.AWC,Lg,tecnologia,televisor,1724905,3499900,50,1774995,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-lg-60-pulgadas-led-uhd-4k-smart-tv-60ua7500psaawc-3221488/p
Televisor LG 65 pulgadas LED Uhd4K Smart TV 65UR7800PSB,Lg,tecnologia,televisor,2039905,3999900,49,1959995,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/medios-de-pago-exito
Televisor LG 65 pulgadas LED Uhd4K Smart TV 65UR7800PSB,Lg,tecnologia,televisor,2039905,3999900,49,1959995,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-lg-65-pulgadas-led-uhd-4k-smart-tv-65ur7800psbawc-3127321/p
Televisor CAIXUN 55 pulgadas QLED Uhd4K Smart TV C55VAUGQ,Caixun,tecnologia,televisor,1149905,3999900,71,2849995,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-caixun-55-pulgadas-qled-uhd-4k-smart-tv-c55vaugq-3241135/p
Soporte TV Fijo de 32 a 60 SF60 SOPORTV,Soportv,tecnologia,otro_tecnologia,69900,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/soporte-fijo-tv-32-a-60-26707/p
Televisor TCL 75 pulgadas QLED Uhd4K Smart TV 75P7L,Tcl,tecnologia,televisor,2849900,7199900,60,4350000,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-tcl-75-pulgadas-qled-uhd-4k-smart-tv-75p7l-3248711/p
Televisor HISENSE 58 pulgadas LED Uhd4K Smart TV 58A6NV,Hisense,tecnologia,televisor,1369905,3599900,61,2229995,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-hisense-58-pulgadas-led-uhd-4k-smart-tv-58a6nv-3208349/p
Televisor TCL 55 pulgadas LED Uhd4K Smart TV 55P6K,Tcl,tecnologia,televisor,1284905,3299900,61,2014995,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/televisor-tcl-55-pulgadas-led-uhd-4k-smart-tv-55p6k-3226060/p
