nombre,precio_venta,precio_original,descuento_pct,marca,categoria,enlace,imagen
"Parlante LG GRAB.ACOLLBK 20W Negro Sonido IA, Diseño ergonómico",399900,799900,50,LG,tecnologia,https://www.exito.com/parlante-lg-grabacollbk-20w-negro-sonido-ia-diseno-ergonomico-3213038/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Televisor KALLEY 60 pulgadas LED Uhd4K Smart TV 60G310,1401904,3699900,62,KALLEY,tecnologia,https://www.exito.com/televisor-kalley-60-pulgadas-led-uhd-4k-smart-tv-60g310-3235231/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Televisor SAMSUNG 58 pulgadas LED Uhd4K Smart TV UN58U8000FKXZL,1705904,3599900,52,SAMSUNG,tecnologia,https://www.exito.com/televisor-samsung-58-pulgadas-led-uhd-4k-smart-tv-un58u8000fkxzl-3209290/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Televisor TCL 50 pulgadas QLED Fhd Smart TV 50S5K,984905,2299900,57,TCL,tecnologia,https://www.exito.com/televisor-tcl-50-pulgadas-qled-fhd-smart-tv-50s5k-3234406/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Televisor LG 60 pulgadas LED Uhd4K Smart TV 60UA7500PSA.AWC,1724905,3499900,50,LG,tecnologia,https://www.exito.com/televisor-lg-60-pulgadas-led-uhd-4k-smart-tv-60ua7500psaawc-3221488/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Televisor LG 65 pulgadas LED Uhd4K Smart TV 65UR7800PSB,2039905,3999900,49,LG,tecnologia,https://www.exito.com/medios-de-pago-exito,https://d3ez54m90carx6.cloudfront.net/Flag-3z6l525tmn67nxy9-im8igmox9zb2f.svg
Televisor LG 65 pulgadas LED Uhd4K Smart TV 65UR7800PSB,2039905,3999900,49,LG,tecnologia,https://www.exito.com/televisor-lg-65-pulgadas-led-uhd-4k-smart-tv-65ur7800psbawc-3127321/p,https://d1rnpo543m3vxh.cloudfront.net/content/setting-store/exitocol/thirdPrice/61-fileWidget-root_alliedMain_allied_1_imageAllied.png?v=1696522397768
Televisor CAIXUN 55 pulgadas QLED Uhd4K Smart TV C55VAUGQ,1149905,3999900,71,CAIXUN,tecnologia,https://www.exito.com/televisor-caixun-55-pulgadas-qled-uhd-4k-smart-tv-c55vaugq-3241135/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
Soporte TV Fijo de 32 a 60 SF60 SOPORTV,69900,,,SOPORTV,tecnologia,https://www.exito.com/soporte-fijo-tv-32-a-60-26707/p,https://exitocol.vtexassets.com/arquivos/ids/18155477-300-auto/SOPORTE-FIJO-TV-32-A-60-1624452_a.jpg?v=638980707017270000
Televisor TCL 75 pulgadas QLED Uhd4K Smart TV 75P7L,2849900,7199900,60,TCL,tecnologia,https://www.exito.com/televisor-tcl-75-pulgadas-qled-uhd-4k-smart-tv-75p7l-3248711/p,https://d3ez54m90carx6.cloudfront.net/ENVIO_CIUDADES_PRINCIPALES-23mpmlq2krhdu.png
